Property_Address,Market_Value_2025,Improvement_Value,Land_Value,Homestead_Cap_Loss,Total_Main_Area_SqFt,Main_Area_Value,Garage_SqFt,Garage_Value,Land_SqFt,,,
6309,677026,677026,58000,0,3192,558004,1063,83622,10000,,,
6310,663907,603222,60685,0,3226,N/A,1078,N/A,10463,,,
6311,569992,511992,58000,0,3036,447924,965,64068,10000,,,
6312,602427,538677,63750,0,3277,432168,909,61445,10625,,,
6313,460288,415135,45153,0,2241,376845,506,38290,7785,,,
6314,968766,888796,79970,0,4188,723356,985,79833,13788,,,
6315,550119,505175,44944,0,2582,433934,942,71241,7749,,,
6316,709604,642133,67470,0,3147,570725,875,71408,11633,,,
6317,580969,536025,44994,0,2910,474970,942,61055,7749,,,
6318,480134,432539,47595,0,2842,374951,970,57588,8206,,,
6319,467935,422991,44944,0,2382,385155,520,37836,7749,,,
6320,610318,553356,56962,0,2925,482340,957,71016,9821,,,
6321,538409,494642,43767,0,2773,451287,592,43355,7546,,,
6322,1218146,1116617,101529,0,4582,899451,1067,96763,17505,,,
6323,534991,488260,46731,0,2806,488260,552,39708,8057,,,
6324,645249,572105,73144,0,3219,572105,792,57028,12611,,,
6325,511115,466171,44944,0,2636,427626,528,38545,7749,,,
6326,594432,549221,45211,0,2962,483458,528,38781,7795,,,
6327,498357,453413,44944,0,2527,415934,506,37479,7749,,,
6328,491374,446221,45153,0,2444,405188,550,41033,7785,,,
6329,511166,467161,44005,0,2652,430222,506,36939,7587,,,
6330,418286,373092,45194,0,2252,338833,506,34259,7792,,,
6331,580180,535439,44741,0,2902,468781,917,66658,7714,,,
6332,570962,526673,44289,0,2743,444984,1119,81689,7636,,,
6333,537870,492212,45658,0,2809,492212,529,38454,7872,,,
6334,469010,423898,45112,0,2279,387270,479,36628,7778,,,
6335,610407,564749,45658,0,3532,528075,528,36674,7872,,,
6336,525573,479498,46075,0,2697,437522,575,41979,7944,,,
6337,521957,476299,45658,0,2628,435303,550,40996,7872,,,
6338,530604,484488,46116,0,2707,484488,552,40721,7951,,,
6339,555046,509388,45658,0,2696,441963,914,67425,7872,,,
6340,469131,422975,46156,0,2991,390541,552,32434,7958,,,
6341,538374,492716,45658,0,2768,453766,528,38950,7872,,,
6342,532125,485922,46203,0,2745,485922,487,35926,7966,,,
6343,556802,511144,45658,0,2927,443268,996,67876,7872,,,
6344,504815,458572,46243,0,2610,419843,525,38729,7973,,,
6345,531620,485962,45658,0,2758,447417,528,38545,7872,,,
6346,573558,527274,46284,0,2851,460543,918,66731,7980,,,
6347,434345,390839,43506,0,2417,358531,484,32308,7501,,,
6348,531703,485373,46330,0,2743,449668,484,35705,7988,,,
6349,514098,465906,48192,0,2593,426798,528,39108,8309,,,
6350,498815,454532,44283,0,2514,413794,550,40738,7635,,,
